registro;;;uo;;numero_empenho;;data_nap;numero_nap;valor_item_empenho;
11;40125;2500000;1001;15425;;;;;;
10;40126;1;1131;1;10851;18092023;11122023;38023;29807,36;1463827652
11;40126;1600000;0;29807,36;;;;;;
10;40127;1;1131;1;8422;4072023;11122023;38024;99948,00;1463827652
11;40127;1500000;1002;99948;;;;;;
10;40128;1;1131;1;11255;21092023;11122023;38028;1366,30;1463827652
11;40128;1600000;0;1366,3;;;;;;
10;40129;1;1131;1;11256;21092023;11122023;38030;4363,44;1463827652
11;40129;1600000;0;4363,44;;;;;;
10;40440;1;1071;1;11936;28092023;11122023;38031;175618,28;31196098620
11;40440;1500000;0;175618,28;;;;;;
10;40133;1;1151;1;13452;9112023;11122023;38036;113000,69;18606121649
11;40133;1754000;0;113000,69;;;;;;
10;41081;1;1211;1;14929;8122023;19122023;38037;1602,08;501953604
11;41081;1500000;0;1602,08;;;;;;
10;40135;1;1131;1;10854;18092023;11122023;38041;3526,40;1463827652
11;40135;1600000;0;3526,4;;;;;;
10;40136;1;1151;1;4666;30032023;11122023;38042;541824,05;18606121649
11;40136;1754000;0;541824,05;;;;;;
10;40137;1;1241;1;9193;1082023;11122023;38044;5778,16;66012309600
11;40137;2500000;0;5778,16;;;;;;
10;40138;1;1151;1;8200;30062023;11122023;38045;37542,98;18606121649
11;40138;1500000;0;37542,98;;;;;;
10;40139;1;1211;1;7283;16062023;11122023;38046;105342,71;501953604
11;40139;2500000;0;105342,71;;;;;;
10;40140;1;1211;1;7285;16062023;11122023;38046;171874,95;501953604
11;40140;2500000;0;171874,95;;;;;;
10;40145;1;1151;1;13452;9112023;11122023;38051;133544,10;18606121649
11;40145;1754000;0;133544,1;;;;;;
10;40147;1;1151;1;11054;19092023;11122023;38058;2476140,99;18606121649
11;40147;1751000;0;2476140,99;;;;;;
10;40149;1;1131;1;2591;15022023;11122023;38061;30000,00;1463827652
11;40149;1500000;1002;30000;;;;;;
10;40148;1;1131;1;2589;15022023;11122023;38061;30000,00;1463827652
11;40148;1500000;1002;30000;;;;;;
